symbol,timeframe,timestamp,price,next_close,success
ETH/BTC,1m,2025-06-16 11:35:00,0.02443,0.02443,False
ETH/BTC,1m,2025-06-16 11:36:00,0.02443,0.02444,True
ETH/BTC,1m,2025-06-16 11:37:00,0.02444,0.02446,True
ETH/BTC,1m,2025-06-16 11:38:00,0.02446,0.02445,False
ETH/BTC,1m,2025-06-16 11:39:00,0.02445,0.02445,False
ETH/BTC,1m,2025-06-16 11:40:00,0.02445,0.02443,False
ETH/BTC,1m,2025-06-16 11:41:00,0.02443,0.02443,False
ETH/BTC,1m,2025-06-16 11:42:00,0.02443,0.02443,False
ETH/BTC,1m,2025-06-16 11:43:00,0.02443,0.02444,True
ETH/BTC,1m,2025-06-16 11:44:00,0.02444,0.02444,False
ETH/BTC,1m,2025-06-16 11:45:00,0.02444,0.02446,True
ETH/BTC,1m,2025-06-16 11:46:00,0.02446,0.02447,True
ETH/BTC,1m,2025-06-16 11:47:00,0.02447,0.02449,True
ETH/BTC,1m,2025-06-16 11:48:00,0.02449,0.02449,False
ETH/BTC,1m,2025-06-16 11:49:00,0.02449,0.02448,False
ETH/BTC,1m,2025-06-16 11:50:00,0.02448,0.02448,False
ETH/BTC,1m,2025-06-16 11:51:00,0.02448,0.02449,True
ETH/BTC,1m,2025-06-16 11:52:00,0.02449,0.02447,False
ETH/BTC,1m,2025-06-16 11:53:00,0.02447,0.02448,True
ETH/BTC,1m,2025-06-16 11:54:00,0.02448,0.02451,True
ETH/BTC,1m,2025-06-16 11:55:00,0.02451,0.0245,False
ETH/BTC,1m,2025-06-16 11:56:00,0.0245,0.02449,False
ETH/BTC,1m,2025-06-16 11:57:00,0.02449,0.02448,False
ETH/BTC,1m,2025-06-16 12:16:00,0.02446,0.02442,False
ETH/BTC,1m,2025-06-16 12:22:00,0.02447,0.02447,False
ETH/BTC,1m,2025-06-16 12:23:00,0.02447,0.02447,False
ETH/BTC,1m,2025-06-16 12:24:00,0.02447,0.02446,False
ETH/BTC,1m,2025-06-16 12:25:00,0.02446,0.02446,False
ETH/BTC,1m,2025-06-16 12:26:00,0.02446,0.02446,False
ETH/BTC,1m,2025-06-16 12:30:00,0.02447,0.02448,True
ETH/BTC,1m,2025-06-16 12:31:00,0.02448,0.02446,False
ETH/BTC,1m,2025-06-16 12:32:00,0.02446,0.02446,False
ETH/BTC,1m,2025-06-16 12:33:00,0.02446,0.02449,True
ETH/BTC,1m,2025-06-16 12:34:00,0.02449,0.02448,False
ETH/BTC,1m,2025-06-16 12:35:00,0.02448,0.02449,True
ETH/BTC,1m,2025-06-16 12:36:00,0.02449,0.02448,False
ETH/BTC,1m,2025-06-16 12:37:00,0.02448,0.02449,True
ETH/BTC,1m,2025-06-16 12:38:00,0.02449,0.02448,False
ETH/BTC,1m,2025-06-16 12:39:00,0.02448,0.0245,True
ETH/BTC,1m,2025-06-16 12:40:00,0.0245,0.02451,True
ETH/BTC,1m,2025-06-16 12:41:00,0.02451,0.0245,False
ETH/BTC,1m,2025-06-16 12:42:00,0.0245,0.0245,False
ETH/BTC,1m,2025-06-16 12:43:00,0.0245,0.02451,True
ETH/BTC,1m,2025-06-16 12:44:00,0.02451,0.0245,False
ETH/BTC,1m,2025-06-16 12:45:00,0.0245,0.02451,True
ETH/BTC,1m,2025-06-16 12:46:00,0.02451,0.02451,False
