symbol,timeframe,timestamp,price,next_close,success
XRP/USDT,30m,2025-06-13 11:00:00,2.1395,2.1544,True
XRP/USDT,30m,2025-06-13 11:30:00,2.1544,2.1591,True
XRP/USDT,30m,2025-06-13 12:00:00,2.1591,2.1504,False
XRP/USDT,30m,2025-06-13 12:30:00,2.1504,2.1427,False
XRP/USDT,30m,2025-06-13 13:00:00,2.1427,2.1397,False
XRP/USDT,30m,2025-06-13 13:30:00,2.1397,2.1237,False
XRP/USDT,30m,2025-06-13 15:30:00,2.1473,2.1519,True
XRP/USDT,30m,2025-06-13 16:00:00,2.1519,2.1531,True
XRP/USDT,30m,2025-06-13 16:30:00,2.1531,2.1383,False
XRP/USDT,30m,2025-06-14 00:00:00,2.141,2.1399,False
XRP/USDT,30m,2025-06-14 03:00:00,2.1565,2.1589,True
XRP/USDT,30m,2025-06-14 03:30:00,2.1589,2.1662,True
XRP/USDT,30m,2025-06-14 04:00:00,2.1662,2.1635,False
XRP/USDT,30m,2025-06-14 04:30:00,2.1635,2.1568,False
XRP/USDT,30m,2025-06-14 05:00:00,2.1568,2.1577,True
XRP/USDT,30m,2025-06-14 05:30:00,2.1577,2.1527,False
XRP/USDT,30m,2025-06-14 06:00:00,2.1527,2.1555,True
XRP/USDT,30m,2025-06-14 06:30:00,2.1555,2.1542,False
XRP/USDT,30m,2025-06-14 07:00:00,2.1542,2.1651,True
XRP/USDT,30m,2025-06-14 07:30:00,2.1651,2.1703,True
XRP/USDT,30m,2025-06-14 08:00:00,2.1703,2.1732,True
XRP/USDT,30m,2025-06-14 08:30:00,2.1732,2.1668,False
XRP/USDT,30m,2025-06-14 09:00:00,2.1668,2.1657,False
XRP/USDT,30m,2025-06-14 09:30:00,2.1657,2.1677,True
XRP/USDT,30m,2025-06-14 10:00:00,2.1677,2.1698,True
XRP/USDT,30m,2025-06-14 10:30:00,2.1698,2.1747,True
XRP/USDT,30m,2025-06-14 11:00:00,2.1747,2.1769,True
XRP/USDT,30m,2025-06-14 11:30:00,2.1769,2.1686,False
XRP/USDT,30m,2025-06-14 12:00:00,2.1686,2.1721,True
XRP/USDT,30m,2025-06-14 12:30:00,2.1721,2.1645,False
XRP/USDT,30m,2025-06-14 23:00:00,2.1427,2.1394,False
XRP/USDT,30m,2025-06-14 23:30:00,2.1394,2.1437,True
XRP/USDT,30m,2025-06-15 00:00:00,2.1437,2.1478,True
XRP/USDT,30m,2025-06-15 00:30:00,2.1478,2.1436,False
XRP/USDT,30m,2025-06-15 01:00:00,2.1436,2.143,False
XRP/USDT,30m,2025-06-15 01:30:00,2.143,2.149,True
XRP/USDT,30m,2025-06-15 02:00:00,2.149,2.1459,False
XRP/USDT,30m,2025-06-15 02:30:00,2.1459,2.1511,True
XRP/USDT,30m,2025-06-15 03:00:00,2.1511,2.153,True
XRP/USDT,30m,2025-06-15 03:30:00,2.153,2.1564,True
XRP/USDT,30m,2025-06-15 04:00:00,2.1564,2.1593,True
XRP/USDT,30m,2025-06-15 04:30:00,2.1593,2.1545,False
XRP/USDT,30m,2025-06-15 05:00:00,2.1545,2.1606,True
XRP/USDT,30m,2025-06-15 05:30:00,2.1606,2.1534,False
XRP/USDT,30m,2025-06-15 06:00:00,2.1534,2.1529,False
XRP/USDT,30m,2025-06-15 06:30:00,2.1529,2.1504,False
XRP/USDT,30m,2025-06-15 07:00:00,2.1504,2.1513,True
XRP/USDT,30m,2025-06-15 07:30:00,2.1513,2.148,False
XRP/USDT,30m,2025-06-15 08:30:00,2.1544,2.1589,True
XRP/USDT,30m,2025-06-15 09:00:00,2.1589,2.1559,False
XRP/USDT,30m,2025-06-15 09:30:00,2.1559,2.1606,True
XRP/USDT,30m,2025-06-15 10:00:00,2.1606,2.1632,True
XRP/USDT,30m,2025-06-15 10:30:00,2.1632,2.1613,False
XRP/USDT,30m,2025-06-15 11:00:00,2.1613,2.159,False
XRP/USDT,30m,2025-06-15 12:00:00,2.1585,2.1641,True
XRP/USDT,30m,2025-06-15 12:30:00,2.1641,2.1679,True
XRP/USDT,30m,2025-06-15 13:00:00,2.1679,2.1712,True
XRP/USDT,30m,2025-06-15 13:30:00,2.1712,2.168,False
XRP/USDT,30m,2025-06-15 14:00:00,2.168,2.1727,True
XRP/USDT,30m,2025-06-15 14:30:00,2.1727,2.1693,False
XRP/USDT,30m,2025-06-15 15:00:00,2.1693,2.1645,False
XRP/USDT,30m,2025-06-15 15:30:00,2.1645,2.161,False
XRP/USDT,30m,2025-06-16 01:30:00,2.1737,2.177,True
XRP/USDT,30m,2025-06-16 02:00:00,2.177,2.1733,False
XRP/USDT,30m,2025-06-16 02:30:00,2.1733,2.1786,True
XRP/USDT,30m,2025-06-16 03:00:00,2.1786,2.1721,False
XRP/USDT,30m,2025-06-16 03:30:00,2.1721,2.1794,True
XRP/USDT,30m,2025-06-16 04:00:00,2.1794,2.1782,False
XRP/USDT,30m,2025-06-16 04:30:00,2.1782,2.1855,True
XRP/USDT,30m,2025-06-16 05:00:00,2.1855,2.1814,False
XRP/USDT,30m,2025-06-16 05:30:00,2.1814,2.1827,True
XRP/USDT,30m,2025-06-16 06:00:00,2.1827,2.181,False
XRP/USDT,30m,2025-06-16 06:30:00,2.181,2.1906,True
XRP/USDT,30m,2025-06-16 07:00:00,2.1906,2.2031,True
XRP/USDT,30m,2025-06-16 07:30:00,2.2031,2.195,False
XRP/USDT,30m,2025-06-16 08:00:00,2.195,2.2014,True
XRP/USDT,30m,2025-06-16 08:30:00,2.2014,2.1985,False
XRP/USDT,30m,2025-06-16 09:00:00,2.1985,2.199,True
XRP/USDT,30m,2025-06-16 09:30:00,2.199,2.2068,True
XRP/USDT,30m,2025-06-16 10:00:00,2.2068,2.2098,True
XRP/USDT,30m,2025-06-16 10:30:00,2.2098,2.2092,False
XRP/USDT,30m,2025-06-16 11:00:00,2.2092,2.2456,True
XRP/USDT,30m,2025-06-16 11:30:00,2.2456,2.2575,True
XRP/USDT,30m,2025-06-16 12:00:00,2.2575,2.248,False
XRP/USDT,30m,2025-06-16 12:30:00,2.248,2.253,True
XRP/USDT,30m,2025-06-16 13:00:00,2.253,2.2591,True
XRP/USDT,30m,2025-06-16 13:30:00,2.2591,2.2588,False
XRP/USDT,30m,2025-06-16 14:00:00,2.2588,2.2808,True
XRP/USDT,30m,2025-06-16 14:30:00,2.2808,2.2802,False
XRP/USDT,30m,2025-06-16 15:00:00,2.2802,2.2899,True
XRP/USDT,30m,2025-06-16 15:30:00,2.2899,2.3032,True
XRP/USDT,30m,2025-06-16 16:00:00,2.3032,2.31,True
XRP/USDT,30m,2025-06-16 16:30:00,2.31,2.3141,True
XRP/USDT,30m,2025-06-16 17:00:00,2.3141,2.3075,False
XRP/USDT,30m,2025-06-16 17:30:00,2.3075,2.31,True
XRP/USDT,30m,2025-06-16 18:00:00,2.31,2.3241,True
XRP/USDT,30m,2025-06-16 18:30:00,2.3241,2.3275,True
XRP/USDT,30m,2025-06-16 19:00:00,2.3275,2.3357,True
XRP/USDT,30m,2025-06-16 19:30:00,2.3357,2.3183,False
XRP/USDT,30m,2025-06-16 20:00:00,2.3183,2.3188,True
XRP/USDT,30m,2025-06-16 20:30:00,2.3188,2.3104,False
XRP/USDT,30m,2025-06-17 23:30:00,2.159,2.1546,False
XRP/USDT,30m,2025-06-18 00:30:00,2.1666,2.1664,False
XRP/USDT,30m,2025-06-18 01:00:00,2.1664,2.1612,False
XRP/USDT,30m,2025-06-18 04:30:00,2.1719,2.1711,False
XRP/USDT,30m,2025-06-18 05:00:00,2.1711,2.168,False
XRP/USDT,30m,2025-06-18 05:30:00,2.168,2.161,False
XRP/USDT,30m,2025-06-18 14:00:00,2.1588,2.1447,False
XRP/USDT,30m,2025-06-18 17:00:00,2.1428,2.1486,True
XRP/USDT,30m,2025-06-18 17:30:00,2.1486,2.1464,False
XRP/USDT,30m,2025-06-18 18:00:00,2.1464,2.1307,False
XRP/USDT,30m,2025-06-18 19:00:00,2.144,2.1406,False
XRP/USDT,30m,2025-06-18 19:30:00,2.1406,2.1494,True
XRP/USDT,30m,2025-06-18 20:00:00,2.1494,2.1731,True
XRP/USDT,30m,2025-06-18 20:30:00,2.1731,2.1737,True
XRP/USDT,30m,2025-06-18 21:00:00,2.1737,2.1749,True
XRP/USDT,30m,2025-06-18 21:30:00,2.1749,2.1744,False
XRP/USDT,30m,2025-06-18 22:00:00,2.1744,2.1689,False
XRP/USDT,30m,2025-06-18 22:30:00,2.1689,2.1737,True
XRP/USDT,30m,2025-06-18 23:00:00,2.1737,2.1705,False
