symbol,timeframe,timestamp,price,next_close,success
ZRX/USDT,1h,2025-06-07 12:00:00,0.241,0.2414,True
ZRX/USDT,1h,2025-06-07 13:00:00,0.2414,0.24,False
ZRX/USDT,1h,2025-06-07 14:00:00,0.24,0.2391,False
ZRX/USDT,1h,2025-06-07 15:00:00,0.2391,0.2379,False
ZRX/USDT,1h,2025-06-08 14:00:00,0.2396,0.2399,True
ZRX/USDT,1h,2025-06-08 15:00:00,0.2399,0.2417,True
ZRX/USDT,1h,2025-06-08 16:00:00,0.2417,0.2415,False
ZRX/USDT,1h,2025-06-08 17:00:00,0.2415,0.2424,True
ZRX/USDT,1h,2025-06-08 18:00:00,0.2424,0.2418,False
ZRX/USDT,1h,2025-06-08 19:00:00,0.2418,0.242,True
ZRX/USDT,1h,2025-06-08 20:00:00,0.242,0.2427,True
ZRX/USDT,1h,2025-06-08 21:00:00,0.2427,0.24,False
ZRX/USDT,1h,2025-06-08 22:00:00,0.24,0.2397,False
ZRX/USDT,1h,2025-06-08 23:00:00,0.2397,0.2388,False
ZRX/USDT,1h,2025-06-09 12:00:00,0.2422,0.2401,False
ZRX/USDT,1h,2025-06-09 13:00:00,0.2401,0.2415,True
ZRX/USDT,1h,2025-06-09 14:00:00,0.2415,0.2426,True
ZRX/USDT,1h,2025-06-09 15:00:00,0.2426,0.2438,True
ZRX/USDT,1h,2025-06-09 16:00:00,0.2438,0.2448,True
ZRX/USDT,1h,2025-06-09 17:00:00,0.2448,0.2447,False
ZRX/USDT,1h,2025-06-09 18:00:00,0.2447,0.2443,False
ZRX/USDT,1h,2025-06-09 19:00:00,0.2443,0.2466,True
ZRX/USDT,1h,2025-06-09 20:00:00,0.2466,0.2508,True
ZRX/USDT,1h,2025-06-09 21:00:00,0.2508,0.2523,True
ZRX/USDT,1h,2025-06-09 22:00:00,0.2523,0.252,False
ZRX/USDT,1h,2025-06-09 23:00:00,0.252,0.2526,True
ZRX/USDT,1h,2025-06-10 00:00:00,0.2526,0.2527,True
ZRX/USDT,1h,2025-06-10 01:00:00,0.2527,0.251,False
ZRX/USDT,1h,2025-06-10 02:00:00,0.251,0.2515,True
ZRX/USDT,1h,2025-06-10 03:00:00,0.2515,0.2501,False
ZRX/USDT,1h,2025-06-10 04:00:00,0.2501,0.2487,False
ZRX/USDT,1h,2025-06-10 05:00:00,0.2487,0.2491,True
ZRX/USDT,1h,2025-06-10 12:00:00,0.2565,0.2531,False
ZRX/USDT,1h,2025-06-10 13:00:00,0.2531,0.2507,False
ZRX/USDT,1h,2025-06-10 19:00:00,0.257,0.2585,True
ZRX/USDT,1h,2025-06-10 20:00:00,0.2585,0.2596,True
ZRX/USDT,1h,2025-06-10 21:00:00,0.2596,0.263,True
ZRX/USDT,1h,2025-06-10 22:00:00,0.263,0.2633,True
ZRX/USDT,1h,2025-06-10 23:00:00,0.2633,0.2612,False
ZRX/USDT,1h,2025-06-11 00:00:00,0.2612,0.2581,False
ZRX/USDT,1h,2025-06-11 01:00:00,0.2581,0.258,False
ZRX/USDT,1h,2025-06-11 02:00:00,0.258,0.2613,True
ZRX/USDT,1h,2025-06-11 03:00:00,0.2613,0.2594,False
ZRX/USDT,1h,2025-06-12 17:00:00,0.2444,0.2418,False
ZRX/USDT,1h,2025-06-13 14:00:00,0.2267,0.2285,True
ZRX/USDT,1h,2025-06-13 15:00:00,0.2285,0.2311,True
ZRX/USDT,1h,2025-06-13 16:00:00,0.2311,0.2306,False
ZRX/USDT,1h,2025-06-13 17:00:00,0.2306,0.2281,False
ZRX/USDT,1h,2025-06-13 18:00:00,0.2281,0.2283,True
ZRX/USDT,1h,2025-06-13 19:00:00,0.2283,0.2307,True
ZRX/USDT,1h,2025-06-13 20:00:00,0.2307,0.2301,False
ZRX/USDT,1h,2025-06-13 21:00:00,0.2301,0.231,True
ZRX/USDT,1h,2025-06-13 22:00:00,0.231,0.2305,False
ZRX/USDT,1h,2025-06-13 23:00:00,0.2305,0.2294,False
ZRX/USDT,1h,2025-06-14 00:00:00,0.2294,0.2284,False
ZRX/USDT,1h,2025-06-14 01:00:00,0.2284,0.2294,True
ZRX/USDT,1h,2025-06-14 02:00:00,0.2294,0.229,False
ZRX/USDT,1h,2025-06-14 03:00:00,0.229,0.2289,False
ZRX/USDT,1h,2025-06-14 04:00:00,0.2289,0.2292,True
ZRX/USDT,1h,2025-06-14 05:00:00,0.2292,0.2282,False
ZRX/USDT,1h,2025-06-14 08:00:00,0.2288,0.2283,False
ZRX/USDT,1h,2025-06-14 14:00:00,0.2303,0.2285,False
ZRX/USDT,1h,2025-06-14 15:00:00,0.2285,0.2257,False
ZRX/USDT,1h,2025-06-15 05:00:00,0.231,0.2287,False
